Employee_Number,Stag,Turnover,Gender,Age,Industry,Profession,Traffic,Traffic_Source,Coach,Head_gender,Greywage,Way,Extraversion,Independ,Selfcontrol,Anxiety,Novator
250,53,Yes,Female,27,Retail,HR,rabrecNErab,Employer_ByRecomendation,no,Male,white,foot,7,6,5,6,8
251,139,Yes,Female,32,State,Teaching,rabrecNErab,Employer_ByRecomendation,no,Female,white,bus,8,5,4,3,8
252,28,Yes,Female,31,Banks,HR,empjs,Employer_JobSite,no,Female,grey,bus,7,6,1,9,8
253,23,No,Female,23,Retail,HR,youjs,Person_JobSite,yes,Female,white,bus,6,5,7,4,7
254,15,Yes,Male,22,PowerGeneration,Other,recNErab,Person_ByRecomendation,no,Male,white,bus,6,3,7,6,7
255,160,Yes,Female,24,Telecom,HR,referal,Person_RecReferral,no,Male,white,bus,1,7,10,5,8
256,20,Yes,Female,23,Retail,Sales,empjs,Employer_JobSite,my head,Female,white,bus,7,5,4,6,7
257,17,No,Female,32,Retail,HR,rabrecNErab,Employer_ByRecomendation,no,Female,white,bus,3,4,7,7,8
258,16,No,Male,42,Manufacture,BusinessDevelopment,youjs,Person_JobSite,no,Male,white,car,1,4,10,7,5
259,70,Yes,Male,22,PowerGeneration,Marketing,rabrecNErab,Employer_ByRecomendation,no,Male,white,bus,5,4,9,4,2
260,3,Yes,Male,39,Banks,BusinessDevelopment,youjs,Person_JobSite,no,Female,white,bus,8,5,2,9,8
261,13,Yes,Male,34,Other,HR,empjs,Employer_JobSite,no,Male,grey,bus,4,3,8,9,6
262,89,No,Female,30,State,HR,youjs,Person_JobSite,no,Male,white,bus,5,3,7,7,7
263,123,Yes,Female,28,Retail,Marketing,rabrecNErab,Employer_ByRecomendation,no,Female,white,car,3,8,3,8,8
264,60,No,Female,31,Retail,BusinessDevelopment,referal,Person_RecReferral,no,Male,white,car,5,5,8,5,7
265,60,No,Female,31,Retail,BusinessDevelopment,referal,Person_RecReferral,no,Male,white,car,6,7,7,5,5
266,27,Yes,Female,32,Other,HR,youjs,Person_JobSite,yes,Female,white,bus,3,8,7,6,8
267,18,No,Female,40,Manufacture,HR,youjs,Person_JobSite,no,Male,white,bus,3,7,5,6,6
268,17,Yes,Female,22,IT,manage,youjs,Person_JobSite,yes,Female,white,bus,9,6,3,6,10
269,3,Yes,Female,41,Banks,HR,rabrecNErab,Employer_ByRecomendation,no,Male,white,bus,4,8,3,5,8
270,24,Yes,Female,24,Manufacture,HR,rabrecNErab,Employer_ByRecomendation,my head,Female,grey,bus,3,5,7,8,5
271,24,Yes,Female,24,Manufacture,HR,rabrecNErab,Employer_ByRecomendation,my head,Female,grey,bus,3,6,6,7,5
272,16,Yes,Female,26,Other,Engineer,empjs,Employer_JobSite,no,Male,white,bus,6,6,3,6,8
273,46,Yes,Female,36,RealEstate,manage,rabrecNErab,Employer_ByRecomendation,no,Male,white,bus,5,6,7,5,4
274,12,Yes,Male,30,Retail,Sales,rabrecNErab,Employer_ByRecomendation,no,Male,grey,car,5,4,5,6,6
275,74,Yes,Female,30,Retail,HR,youjs,Person_JobSite,yes,Female,white,bus,5,5,6,9,6
276,3,No,Female,31,IT,HR,youjs,Person_JobSite,no,Male,white,bus,7,3,8,8,6
277,27,Yes,Female,24,Pharma,HR,empjs,Employer_JobSite,no,Female,white,bus,5,5,5,5,5
278,2,Yes,Female,28,IT,HR,youjs,Person_JobSite,no,Female,white,bus,6,3,5,8,8
279,68,Yes,Female,24,Other,PR,referal,Person_RecReferral,no,Female,white,foot,7,4,3,8,8
280,68,Yes,Female,24,Other,PR,referal,Person_RecReferral,no,Female,white,foot,8,6,3,6,7
281,2,Yes,Female,44,Other,HR,youjs,Person_JobSite,no,Male,white,bus,5,8,6,3,6
282,76,No,Female,24,Retail,HR,rabrecNErab,Employer_ByRecomendation,yes,Male,white,car,7,6,2,6,8
283,12,Yes,Male,39,Retail,manage,empjs,Employer_JobSite,no,Male,white,car,6,3,6,6,8
284,58,No,Female,35,Telecom,BusinessDevelopment,referal,Person_RecReferral,my head,Female,white,bus,9,6,3,5,7
285,32,Yes,Female,40,Retail,HR,KA,RecAgency,no,Male,white,car,6,6,6,5,8
286,6,Yes,Female,30,Retail,Marketing,youjs,Person_JobSite,yes,Female,white,bus,8,6,5,4,8
287,5,Yes,Female,26,Banks,HR,youjs,Person_JobSite,no,Female,grey,bus,5,6,6,4,6
288,5,Yes,Female,26,Banks,HR,youjs,Person_JobSite,no,Female,grey,bus,5,6,6,6,5
289,23,No,Female,31,Other,HR,empjs,Employer_JobSite,no,Female,white,bus,5,6,5,6,7
290,27,No,Female,26,IT,HR,empjs,Employer_JobSite,yes,Female,white,bus,9,6,3,4,6
291,27,No,Female,26,IT,HR,empjs,Employer_JobSite,yes,Female,white,bus,6,8,4,3,7
292,150,Yes,Female,33,Pharma,HR,empjs,Employer_JobSite,no,Female,white,car,5,3,6,7,5
293,53,No,Female,23,Consult,HR,empjs,Employer_JobSite,yes,Female,white,foot,9,6,3,5,8
294,6,No,Female,32,Retail,HR,rabrecNErab,Employer_ByRecomendation,no,Female,white,bus,4,6,8,4,7
295,54,Yes,Male,28,Other,IT,youjs,Person_JobSite,no,Male,white,bus,8,7,3,6,8
296,74,No,Female,26,Retail,Other,youjs,Person_JobSite,no,Male,white,car,10,6,3,6,7
297,27,Yes,Female,27,Other,HR,KA,RecAgency,no,Female,white,bus,4,2,10,7,2
298,44,No,Male,22,IT,IT,rabrecNErab,Employer_ByRecomendation,my head,Male,white,foot,5,3,6,9,6
299,54,Yes,Male,37,IT,IT,rabrecNErab,Employer_ByRecomendation,no,Male,white,bus,10,3,3,6,10
300,9,Yes,Male,38,Agriculture,HR,empjs,Employer_JobSite,no,Female,white,bus,5,4,4,9,8
301,64,Yes,Male,44,Retail,Sales,youjs,Person_JobSite,no,Male,grey,bus,2,6,9,7,7
302,27,No,Female,27,Other,Other,empjs,Employer_JobSite,no,Male,white,bus,7,7,6,3,7
303,24,Yes,Female,23,Agriculture,Consult,referal,Person_RecReferral,yes,Male,white,bus,5,7,7,3,2
304,24,Yes,Female,23,Agriculture,Consult,referal,Person_RecReferral,yes,Male,white,bus,5,7,7,3,3
305,24,Yes,Female,23,Agriculture,Consult,referal,Person_RecReferral,my head,Male,white,bus,5,7,7,3,2
306,24,Yes,Female,23,Agriculture,Consult,referal,Person_RecReferral,my head,Male,white,bus,5,7,7,3,3
307,38,Yes,Female,34,Building,HR,youjs,Person_JobSite,my head,Female,white,bus,5,3,6,8,8
308,18,No,Male,23,Telecom,Engineer,empjs,Employer_JobSite,no,Male,grey,bus,4,9,9,5,5
309,95,No,Female,25,Retail,HR,youjs,Person_JobSite,no,Male,grey,bus,6,3,6,6,8
310,28,No,Female,26,Retail,HR,recNErab,Person_ByRecomendation,no,Female,white,bus,5,6,6,6,4
311,28,No,Female,26,Retail,HR,recNErab,Person_ByRecomendation,no,Female,white,bus,4,4,9,8,5
312,72,No,Female,30,Retail,Other,youjs,Person_JobSite,no,Female,grey,bus,6,3,6,6,6
313,3,Yes,Male,45,Telecom,BusinessDevelopment,friends,Employer_Friends,my head,Male,white,bus,3,8,7,7,6
314,12,No,Female,31,Transport,Consult,friends,Employer_Friends,no,Male,white,bus,5,6,6,4,4
315,12,No,Female,31,Transport,Consult,friends,Employer_Friends,no,Male,white,bus,4,3,8,6,6
316,24,Yes,Female,36,Manufacture,Other,empjs,Employer_JobSite,my head,Female,white,foot,5,4,5,6,4
317,24,Yes,Female,36,Manufacture,Other,empjs,Employer_JobSite,my head,Female,white,foot,6,5,6,4,3
318,40,No,Female,29,PowerGeneration,Commercial,youjs,Person_JobSite,no,Male,grey,car,5,6,4,6,8
319,54,Yes,Female,30,Telecom,HR,youjs,Person_JobSite,yes,Female,white,foot,5,4,5,9,8
320,21,Yes,Female,23,Manufacture,Engineer,youjs,Person_JobSite,yes,Male,white,bus,3,7,6,8,5
321,21,Yes,Female,23,Manufacture,Engineer,youjs,Person_JobSite,yes,Male,white,bus,5,7,7,5,5
322,12,Yes,Female,27,Retail,HR,rabrecNErab,Employer_ByRecomendation,yes,Female,white,bus,6,7,3,5,7
323,45,Yes,Male,29,Consult,HR,empjs,Employer_JobSite,no,Male,white,car,3,5,5,6,8
324,14,Yes,Female,28,State,manage,rabrecNErab,Employer_ByRecomendation,no,Female,white,bus,7,7,6,3,5
325,59,No,Male,46,Consult,HR,advert,Person_Advert,no,Female,white,bus,3,6,8,6,4
326,62,Yes,Male,23,State,Law,referal,Person_RecReferral,my head,Male,white,car,5,7,7,3,2
327,62,Yes,Male,23,State,Law,referal,Person_RecReferral,my head,Male,white,car,5,7,7,3,3
328,141,No,Female,26,Building,HR,rabrecNErab,Employer_ByRecomendation,no,Male,white,foot,4,2,9,6,4
329,141,No,Female,26,Building,HR,rabrecNErab,Employer_ByRecomendation,no,Male,white,foot,5,3,8,7,5
330,6,Yes,Female,38,Transport,HR,youjs,Person_JobSite,no,Male,grey,bus,6,6,8,3,4
331,6,Yes,Female,38,Transport,HR,youjs,Person_JobSite,no,Male,grey,bus,5,6,8,4,4
332,95,Yes,Male,26,Retail,IT,friends,Employer_Friends,no,Male,white,bus,4,8,7,8,4
333,70,No,Female,31,Retail,HR,youjs,Person_JobSite,my head,Female,white,bus,5,6,7,3,3
334,70,No,Female,31,Retail,HR,youjs,Person_JobSite,my head,Female,white,bus,5,6,7,5,4
335,57,Yes,Female,36,Building,HR,KA,RecAgency,no,Female,white,bus,4,6,6,6,6
336,46,No,Female,33,PowerGeneration,HR,empjs,Employer_JobSite,my head,Female,white,car,8,6,6,8,6
337,46,No,Female,33,PowerGeneration,HR,empjs,Employer_JobSite,my head,Female,white,car,4,3,6,9,8
338,29,Yes,Female,28,Building,BusinessDevelopment,referal,Person_RecReferral,no,Male,white,foot,9,3,5,3,6
339,12,Yes,Female,27,Retail,HR,referal,Person_RecReferral,yes,Female,white,bus,6,7,3,5,7
340,27,No,Female,26,Banks,IT,youjs,Person_JobSite,my head,Male,grey,car,6,6,5,6,7
341,106,No,Female,28,Retail,HR,youjs,Person_JobSite,no,Male,white,bus,5,3,7,6,4
342,3,Yes,Female,40,Retail,HR,youjs,Person_JobSite,no,Male,grey,car,6,6,5,5,8
343,5,Yes,Male,23,Other,Marketing,friends,Employer_Friends,my head,Male,white,bus,1,10,6,3,6
344,36,Yes,Female,22,IT,IT,empjs,Employer_JobSite,my head,Male,grey,bus,7,4,6,6,8
345,40,No,Female,29,Manufacture,HR,rabrecNErab,Employer_ByRecomendation,my head,Male,white,foot,6,3,4,8,8
346,40,No,Female,29,Manufacture,HR,rabrecNErab,Employer_ByRecomendation,my head,Male,white,foot,6,3,4,8,8
347,2,Yes,Male,23,State,Other,rabrecNErab,Employer_ByRecomendation,my head,Male,white,bus,6,3,7,6,8
348,40,No,Female,29,Manufacture,HR,rabrecNErab,Employer_ByRecomendation,my head,Male,white,foot,6,3,4,8,8
349,40,No,Female,29,Manufacture,HR,rabrecNErab,Employer_ByRecomendation,my head,Male,white,foot,6,3,4,8,8
350,11,Yes,Male,26,IT,IT,empjs,Employer_JobSite,no,Male,white,bus,4,5,6,9,6
351,85,No,Female,26,Transport,HR,youjs,Person_JobSite,yes,Female,white,bus,8,5,6,5,6
352,10,Yes,Male,26,Building,Engineer,empjs,Employer_JobSite,my head,Male,white,bus,5,6,6,9,6
353,64,No,Male,19,IT,IT,youjs,Person_JobSite,no,Male,white,bus,5,6,7,6,6
354,14,No,Female,33,Retail,HR,youjs,Person_JobSite,no,Male,grey,bus,6,5,6,3,4
355,21,Yes,Female,24,Consult,Consult,rabrecNErab,Employer_ByRecomendation,my head,Female,white,bus,6,5,8,4,3
356,29,No,Female,31,Retail,Accounting,youjs,Person_JobSite,no,Female,white,bus,7,3,7,5,4
357,155,Yes,Female,33,Pharma,HR,empjs,Employer_JobSite,no,Female,white,car,5,3,6,7,5
358,14,Yes,Female,22,IT,HR,rabrecNErab,Employer_ByRecomendation,no,Male,white,bus,7,3,7,6,6
359,13,Yes,Female,25,Banks,HR,empjs,Employer_JobSite,my head,Male,white,bus,9,6,3,3,7
360,3,No,Female,28,Agriculture,HR,friends,Employer_Friends,no,Male,white,bus,6,6,3,6,8
361,3,No,Female,32,Telecom,HR,youjs,Person_JobSite,no,Female,white,bus,7,6,3,7,7
362,4,Yes,Female,22,Transport,HR,youjs,Person_JobSite,no,Male,white,bus,2,8,5,7,7
363,10,Yes,Female,37,Consult,Finanсe,empjs,Employer_JobSite,no,Male,white,bus,7,8,3,6,8
364,34,Yes,Female,27,Retail,HR,empjs,Employer_JobSite,no,Female,grey,car,8,5,3,6,7
365,34,Yes,Female,27,Retail,HR,empjs,Employer_JobSite,no,Female,grey,car,10,4,2,6,8
366,12,Yes,Female,35,Telecom,HR,empjs,Employer_JobSite,my head,Female,white,foot,6,4,6,6,7
367,165,No,Female,27,Telecom,Marketing,advert,Person_Advert,no,Female,white,car,4,5,5,6,5
368,33,Yes,Male,24,Consult,HR,empjs,Employer_JobSite,no,Female,white,foot,2,4,6,9,6
369,5,Yes,Female,25,Banks,HR,youjs,Person_JobSite,my head,Female,grey,bus,5,3,8,6,2
370,40,Yes,Female,23,Banks,IT,youjs,Person_JobSite,my head,Male,white,bus,5,6,3,4,6
371,34,No,Female,24,IT,HR,empjs,Employer_JobSite,my head,Female,white,bus,9,7,5,2,4
372,96,Yes,Male,31,Retail,IT,youjs,Person_JobSite,no,Male,white,bus,5,3,6,10,4
373,7,Yes,Male,35,Retail,Sales,youjs,Person_JobSite,no,Male,white,foot,5,6,5,4,3
374,27,Yes,Female,21,State,PR,empjs,Employer_JobSite,no,Female,white,bus,3,6,7,6,2
375,116,No,Female,19,Retail,HR,rabrecNErab,Employer_ByRecomendation,yes,Female,white,bus,7,6,6,3,5
376,29,Yes,Female,21,Consult,HR,empjs,Employer_JobSite,yes,Female,white,bus,7,9,2,5,6
377,26,Yes,Female,24,Building,Other,friends,Employer_Friends,no,Male,grey,bus,5,4,3,8,6
378,29,No,Female,35,Pharma,HR,KA,RecAgency,my head,Female,white,bus,5,5,6,4,4
379,58,Yes,Male,25,Retail,Sales,youjs,Person_JobSite,my head,Male,white,car,7,6,4,6,8
380,134,Yes,Male,19,Manufacture,Accounting,friends,Employer_Friends,no,Female,white,car,6,3,6,7,7
381,134,Yes,Male,19,Manufacture,Accounting,friends,Employer_Friends,no,Female,white,car,5,7,6,7,5
382,40,No,Female,30,Banks,HR,friends,Employer_Friends,my head,Female,white,bus,6,6,4,3,5
383,38,No,Female,35,Manufacture,HR,youjs,Person_JobSite,no,Male,white,bus,8,2,3,4,7
384,27,No,Female,43,State,Law,rabrecNErab,Employer_ByRecomendation,no,Male,white,car,5,6,6,4,5
385,25,Yes,Female,22,Consult,HR,empjs,Employer_JobSite,yes,Male,white,bus,6,5,3,7,9
386,33,Yes,Female,48,Building,HR,rabrecNErab,Employer_ByRecomendation,no,Male,white,bus,6,6,6,3,7
387,23,No,Female,29,IT,IT,empjs,Employer_JobSite,yes,Male,white,car,9,6,4,5,8
388,23,No,Female,29,IT,IT,empjs,Employer_JobSite,yes,Male,white,car,7,6,6,5,5
389,49,No,Female,33,PowerGeneration,HR,empjs,Employer_JobSite,my head,Female,white,car,8,6,6,8,6
390,49,No,Female,33,PowerGeneration,HR,empjs,Employer_JobSite,my head,Female,white,car,4,3,6,9,8
391,18,Yes,Female,44,Retail,HR,rabrecNErab,Employer_ByRecomendation,no,Male,grey,bus,3,7,4,8,5
392,8,Yes,Female,24,IT,HR,empjs,Employer_JobSite,my head,Male,white,foot,7,6,5,5,3
393,42,Yes,Female,42,Consult,HR,friends,Employer_Friends,no,Male,white,bus,3,7,6,6,6
394,42,Yes,Female,42,Consult,HR,friends,Employer_Friends,no,Male,white,bus,7,6,6,5,4
395,130,Yes,Female,22,State,Teaching,recNErab,Person_ByRecomendation,my head,Female,grey,bus,3,5,6,5,4
396,8,Yes,Male,41,IT,IT,rabrecNErab,Employer_ByRecomendation,no,Male,white,bus,4,4,6,6,4
397,9,Yes,Female,26,State,HR,referal,Person_RecReferral,no,Male,white,car,5,6,7,5,7
398,26,Yes,Male,31,Building,Engineer,youjs,Person_JobSite,no,Male,white,bus,5,4,9,6,4
399,66,Yes,Female,38,Building,HR,youjs,Person_JobSite,no,Male,white,bus,7,4,5,6,7
400,10,No,Male,38,Agriculture,HR,youjs,Person_JobSite,no,Female,white,car,8,3,4,8,7
401,7,Yes,Female,26,Consult,HR,youjs,Person_JobSite,no,Female,grey,bus,7,6,4,5,8
402,0,No,Female,29,Retail,HR,empjs,Employer_JobSite,my head,Female,grey,bus,5,6,2,7,7
403,0,No,Female,29,Retail,HR,empjs,Employer_JobSite,my head,Female,grey,bus,5,1,6,9,3
404,0,No,Female,29,Retail,HR,empjs,Employer_JobSite,my head,Female,grey,bus,5,5,8,9,3
405,3,Yes,Female,38,Building,HR,KA,RecAgency,no,Male,white,car,5,6,5,5,4
406,3,Yes,Female,38,Building,HR,KA,RecAgency,no,Male,white,car,6,6,5,3,3
407,48,No,Male,35,IT,IT,friends,Employer_Friends,no,Male,white,bus,7,6,3,6,9
408,15,No,Female,39,Other,manage,KA,RecAgency,no,Female,white,bus,4,8,5,7,9
409,134,Yes,Male,19,Manufacture,Accounting,rabrecNErab,Employer_ByRecomendation,no,Female,white,car,6,3,6,7,7
410,134,Yes,Male,19,Manufacture,Accounting,rabrecNErab,Employer_ByRecomendation,no,Female,white,car,5,7,6,7,5
411,33,No,Female,26,IT,HR,empjs,Employer_JobSite,my head,Female,white,bus,9,6,3,4,6
412,33,No,Female,26,IT,HR,empjs,Employer_JobSite,my head,Female,white,bus,6,8,4,3,7
413,63,Yes,Male,32,Mining,Law,friends,Employer_Friends,no,Female,white,bus,3,5,4,7,8
414,9,Yes,Female,26,State,HR,empjs,Employer_JobSite,yes,Male,white,car,5,6,7,5,7
415,37,No,Male,33,Retail,HR,empjs,Employer_JobSite,no,Female,white,car,5,6,8,7,5
416,37,No,Male,33,Retail,HR,empjs,Employer_JobSite,no,Female,white,car,5,8,6,7,6
417,12,No,Female,39,Transport,HR,empjs,Employer_JobSite,no,Female,white,bus,5,4,5,6,4
418,12,No,Female,39,Transport,HR,empjs,Employer_JobSite,no,Female,white,bus,6,5,6,4,3
419,29,No,Female,23,Retail,HR,empjs,Employer_JobSite,no,Male,white,bus,7,4,8,5,4
420,19,No,Female,24,Manufacture,HR,youjs,Person_JobSite,no,Female,white,bus,4,8,8,5,3
421,2,No,Female,26,Banks,Sales,advert,Person_Advert,no,Female,white,foot,5,8,4,5,8
422,2,No,Female,26,Banks,Sales,advert,Person_Advert,no,Female,white,foot,5,8,4,6,9
423,17,No,Female,34,Banks,HR,youjs,Person_JobSite,no,Female,white,bus,1,7,8,4,5
424,2,No,Female,26,Banks,Sales,advert,Person_Advert,no,Female,white,foot,5,8,4,5,8
425,2,No,Female,26,Banks,Sales,advert,Person_Advert,no,Female,white,foot,5,8,4,6,9
426,51,No,Male,32,State,Other,youjs,Person_JobSite,no,Female,white,car,4,3,7,10,5
427,42,No,Female,29,Retail,HR,empjs,Employer_JobSite,my head,Female,white,bus,6,7,9,3,3
428,104,No,Female,21,Retail,HR,empjs,Employer_JobSite,no,Female,grey,bus,2,5,9,8,5
429,104,No,Female,21,Retail,HR,empjs,Employer_JobSite,no,Female,grey,bus,4,3,9,7,4
430,2,No,Female,26,Banks,Sales,advert,Person_Advert,no,Female,white,foot,5,8,4,5,8
431,2,No,Female,26,Banks,Sales,advert,Person_Advert,no,Female,white,foot,5,8,4,6,9
432,2,No,Female,26,Banks,Sales,advert,Person_Advert,no,Female,white,foot,5,8,4,5,8
433,2,No,Female,26,Banks,Sales,advert,Person_Advert,no,Female,white,foot,5,8,4,6,9
434,13,Yes,Male,42,Other,Marketing,empjs,Employer_JobSite,no,Female,grey,bus,2,7,3,6,4
435,2,No,Female,35,Telecom,HR,empjs,Employer_JobSite,no,Female,grey,bus,7,3,3,6,8
436,49,Yes,Male,42,Consult,Consult,youjs,Person_JobSite,my head,Male,white,bus,5,8,6,6,5
437,79,No,Male,28,IT,HR,youjs,Person_JobSite,no,Male,white,bus,2,6,7,5,4
438,36,No,Female,27,PowerGeneration,HR,youjs,Person_JobSite,no,Male,white,foot,3,3,6,7,8
439,36,No,Female,27,PowerGeneration,HR,youjs,Person_JobSite,no,Male,white,foot,3,6,4,7,8
440,13,Yes,Male,33,Building,Sales,KA,RecAgency,no,Male,grey,car,8,3,7,4,5
441,2,No,Female,26,Banks,Sales,advert,Person_Advert,no,Female,white,foot,5,8,4,5,8
442,2,No,Female,26,Banks,Sales,advert,Person_Advert,no,Female,white,foot,5,8,4,6,9
443,17,No,Female,31,Transport,manage,friends,Employer_Friends,my head,Male,white,bus,5,6,6,4,4
444,17,No,Female,31,Transport,manage,friends,Employer_Friends,my head,Male,white,bus,4,3,8,6,6
445,24,Yes,Female,32,Manufacture,HR,recNErab,Person_ByRecomendation,my head,Female,white,car,5,7,5,6,6
446,12,No,Female,25,Retail,HR,youjs,Person_JobSite,no,Male,white,car,8,5,6,5,5
447,6,No,Female,33,Manufacture,HR,KA,RecAgency,no,Male,white,bus,5,9,4,3,6
448,24,Yes,Female,28,Transport,HR,empjs,Employer_JobSite,no,Male,white,bus,4,5,10,5,2
449,44,Yes,Male,26,Other,Engineer,friends,Employer_Friends,no,Male,white,bus,8,7,4,6,8
450,21,Yes,Female,40,Building,HR,rabrecNErab,Employer_ByRecomendation,my head,Male,white,car,2,8,6,5,7
451,30,No,Female,26,IT,HR,friends,Employer_Friends,my head,Male,white,bus,5,7,8,4,4
452,31,No,Male,21,Retail,Sales,rabrecNErab,Employer_ByRecomendation,yes,Male,white,bus,8,4,3,6,8
453,1,No,Female,27,Retail,HR,youjs,Person_JobSite,my head,Male,white,bus,7,5,6,5,8
454,24,Yes,Female,29,Mining,HR,rabrecNErab,Employer_ByRecomendation,no,Male,white,bus,5,6,6,5,8
455,32,No,Female,25,Retail,Marketing,youjs,Person_JobSite,yes,Female,white,bus,9,6,3,6,10
456,64,Yes,Male,44,Retail,Commercial,youjs,Person_JobSite,no,Male,white,bus,3,3,10,9,4
457,21,Yes,Male,31,RealEstate,Marketing,youjs,Person_JobSite,my head,Female,grey,car,8,4,4,8,8
458,12,Yes,Female,36,Telecom,HR,youjs,Person_JobSite,no,Female,white,car,7,4,6,6,8
459,54,Yes,Female,30,State,HR,friends,Employer_Friends,yes,Female,white,foot,5,4,5,9,8
460,42,No,Female,31,State,HR,rabrecNErab,Employer_ByRecomendation,no,Female,white,bus,1,8,7,4,3
461,27,No,Female,22,Consult,HR,youjs,Person_JobSite,my head,Female,white,bus,6,6,3,6,8
462,1,Yes,Female,54,Pharma,HR,rabrecNErab,Employer_ByRecomendation,no,Male,white,car,5,8,6,4,4
463,1,Yes,Female,54,Pharma,HR,rabrecNErab,Employer_ByRecomendation,no,Male,white,car,5,8,6,4,4
464,42,Yes,Female,36,Manufacture,HR,youjs,Person_JobSite,my head,Female,white,bus,6,5,6,9,8
465,6,Yes,Female,32,Retail,HR,friends,Employer_Friends,no,Female,grey,car,6,6,2,6,9
466,43,No,Female,33,Banks,HR,empjs,Employer_JobSite,no,Female,white,bus,7,6,1,9,8
467,53,No,Female,23,Retail,Other,recNErab,Person_ByRecomendation,my head,Male,white,bus,6,7,5,3,3
468,18,Yes,Female,41,Banks,HR,empjs,Employer_JobSite,no,Male,white,bus,8,6,3,6,8
469,18,Yes,Female,41,Banks,HR,empjs,Employer_JobSite,no,Male,white,bus,9,6,3,6,8
470,18,Yes,Female,41,Banks,HR,empjs,Employer_JobSite,no,Male,white,bus,7,7,4,6,8
471,26,Yes,Female,30,Banks,HR,youjs,Person_JobSite,no,Female,white,bus,9,7,3,4,8
472,17,No,Female,26,Manufacture,HR,empjs,Employer_JobSite,no,Male,white,bus,9,6,4,4,4
473,71,Yes,Female,23,Banks,HR,rabrecNErab,Employer_ByRecomendation,yes,Female,white,car,6,9,4,3,7
474,71,Yes,Female,23,Banks,HR,rabrecNErab,Employer_ByRecomendation,yes,Female,white,car,7,8,3,3,7
475,100,No,Female,42,Other,HR,youjs,Person_JobSite,no,Female,white,foot,5,5,6,6,4
476,43,Yes,Female,25,State,manage,friends,Employer_Friends,no,Male,white,bus,5,6,6,4,4
477,20,Yes,Female,23,Telecom,HR,empjs,Employer_JobSite,no,Female,white,bus,4,5,7,6,4
478,96,Yes,Female,22,Other,Sales,recNErab,Person_ByRecomendation,my head,Male,white,foot,7,2,6,6,4
479,44,No,Female,29,Retail,HR,empjs,Employer_JobSite,my head,Female,white,bus,6,7,9,3,3
480,104,No,Female,37,Retail,HR,friends,Employer_Friends,no,Male,white,bus,5,5,6,7,4
481,68,Yes,Male,24,Building,HR,friends,Employer_Friends,yes,Male,white,car,5,6,6,9,5
482,1,Yes,Male,26,Other,HR,youjs,Person_JobSite,yes,Female,white,bus,6,6,6,4,4
483,48,Yes,Female,34,Manufacture,manage,KA,RecAgency,no,Female,white,car,7,3,7,5,5
484,16,Yes,Female,27,Agriculture,Marketing,empjs,Employer_JobSite,yes,Male,white,bus,7,7,3,4,5
485,16,No,Female,28,Retail,HR,youjs,Person_JobSite,my head,Female,grey,bus,5,6,2,7,7
486,16,No,Female,28,Retail,HR,youjs,Person_JobSite,my head,Female,grey,bus,5,1,6,9,3
487,16,No,Female,28,Retail,HR,youjs,Person_JobSite,my head,Female,grey,bus,5,5,8,9,3
488,37,No,Female,20,Other,HR,KA,RecAgency,no,Female,white,bus,8,8,4,4,5
489,44,Yes,Male,26,State,IT,empjs,Employer_JobSite,my head,Male,white,bus,5,3,6,7,6
490,13,Yes,Female,27,IT,HR,youjs,Person_JobSite,my head,Male,white,bus,6,6,5,6,6
491,107,Yes,Female,22,Telecom,HR,referal,Person_RecReferral,no,Female,white,car,7,3,4,6,8
492,50,No,Female,31,Manufacture,HR,KA,RecAgency,my head,Male,white,car,9,5,4,3,4
493,6,Yes,Female,31,Manufacture,HR,youjs,Person_JobSite,my head,Male,grey,car,5,6,6,6,7
494,46,Yes,Female,31,Other,HR,empjs,Employer_JobSite,no,Male,white,car,5,8,3,6,8
495,81,Yes,Female,37,Building,HR,friends,Employer_Friends,no,Male,white,car,2,8,8,4,2
496,49,Yes,Male,42,IT,Consult,youjs,Person_JobSite,my head,Male,white,bus,5,8,6,6,5
497,20,Yes,Female,22,Retail,HR,empjs,Employer_JobSite,no,Female,white,bus,5,5,5,7,7
498,20,Yes,Female,22,Retail,HR,empjs,Employer_JobSite,no,Female,white,bus,5,2,8,6,6
499,4,Yes,Male,40,Agriculture,Sales,empjs,Employer_JobSite,no,Male,white,bus,5,4,7,10,5
500,24,No,Female,23,Transport,HR,empjs,Employer_JobSite,yes,Male,white,bus,5,6,8,3,4
501,4,Yes,Female,34,Retail,BusinessDevelopment,rabrecNErab,Employer_ByRecomendation,no,Female,white,bus,3,8,5,6,5
502,84,No,Male,33,State,Sales,rabrecNErab,Employer_ByRecomendation,no,Male,white,car,7,6,4,6,9
503,18,Yes,Female,46,Building,HR,friends,Employer_Friends,no,Male,white,car,4,6,5,6,5
504,73,No,Female,22,Retail,HR,empjs,Employer_JobSite,yes,Female,white,bus,4,6,6,8,9
505,77,No,Female,25,Mining,Finanсe,rabrecNErab,Employer_ByRecomendation,no,Female,white,car,6,6,6,6,4
506,83,Yes,Female,23,Banks,HR,rabrecNErab,Employer_ByRecomendation,yes,Female,white,car,6,9,4,3,7
507,83,Yes,Female,23,Banks,HR,rabrecNErab,Employer_ByRecomendation,yes,Female,white,car,7,8,3,3,7
508,29,Yes,Male,31,Retail,Sales,empjs,Employer_JobSite,my head,Male,grey,bus,6,7,6,3,7
